id_feed;code_feed;media_name;language;country;media_code;type_feed;periodicity;url_media;url_feed;date_first_item;active_feed;date_last_item
165;fr_BEL_lesoir_int;Le soir;fr;BEL;lesoir;International;quotidien;http://www.lesoir.be;http://www.lesoir.be/feed/Actualit%C3%A9/Monde/destination_principale_block;19/12/2013;t;
1107013;fr_DZA_xpress_brn;L'Expression;fr;DZA;xpress;Breaking news;quotidien;http://www.lexpressiondz.com;http://www.lexpressiondz.com/feed/linformation_en_continue/index.1.rss;18/04/2014;t;
60;fr_DZA_xpress_int;L'Expression;fr;DZA;xpress;International;quotidien;http://www.lexpressiondz.com;http://www.lexpressiondz.com/feed/internationale/index.1.rss;19/12/2013;t;
226699;fr_FRA_libera_int;Libération;fr;FRA;libera;International;quotidien;http://www.liberation.fr/;http://liberation.fr.feedsportal.com/c/32268/fe.ed/rss.liberation.fr/rss/10/;23/01/2014;t;
226696;fr_FRA_libera_une;Libération;fr;FRA;libera;Une;quotidien;http://www.liberation.fr/;http://liberation.fr.feedsportal.com/c/32268/fe.ed/rss.liberation.fr/rss/9/;23/01/2014;t;
1338887;es_BOL_tiempo_brn;Los tiempos;es;BOL;tiempo;Breaking news;quotidien;http://www.lostiempos.com/;http://www.lostiempos.com/rss/lostiempos-ultimas.xml;21/04/2014;t;
744184;es_BOL_tiempo_int;Los tiempos;es;BOL;tiempo;International;quotidien;http://www.lostiempos.com/;http://www.lostiempos.com/rss/lostiempos-internacional.xml;19/03/2014;t;
744175;es_BOL_tiempo_une;Los tiempos;es;BOL;tiempo;Une;quotidien;http://www.lostiempos.com/;http://www.lostiempos.com/rss/lostiempos-titulares.xml;19/03/2014;t;
23398;fr_FRA_metron_une;Metro;fr;FRA;metron;Une;quotidien;http://www.metrofrance.com;http://www.metrofrance.com/rss.xml?c=section-news;23/12/2013;t;
1338889;fr_FRA_metron_brn;Metro;fr;FRA;metron;Breaking news;quotidien;http://www.metrofrance.com;http://www.metronews.fr/rss.xml;22/04/2014;t;
763920;es_MEX_mileni_gen;Milenio;es;MEX;mileni;General;quotidien;http://www.milenio.com/;http://www.milenio.com/rss;21/03/2014;t;
1466474;de_DEU_mittel_gen;Mitteldeutsche Zeitung;de;DEU;mittel;General;quotidien;http://www.mz-web.de/startseite/20639998,20639998.html;http://www.mz-web.de/startseite/20639998,20639998,view,asFeed.xml;02/05/2014;t;
1338918;en_BWA_megiwa_gen;Mmegi wa Digmang;en;BWA;megiwa;General;quotidien;http://www.mmegi.bw;http://www.mmegi.bw/2013_website/widgets/rss/rss.php?wid=1;22/04/2014;t;
927247;en_RUS_moscow_brn;Moscow times;en;RUS;moscow;Breaking news;quotidien;http://www.themoscowtimes.com/;http://www.themoscowtimes.com/rss/news/;07/04/2014;t;
